image,ground_truth,source,path,median_h,std_h,median_s,median_v,green_ratio,dark_ratio,bright_ratio
ANG0007.jpg,acceptable,manual_ground_truth,ai_service/datasets/watermelon/raw/external/ANG0007.jpg,76.0,31.90630340576172,72.0,87.0,0.6819096890288477,0.2975875836473036,0.009492211662824046
ANG0003.jpg,acceptable,manual_ground_truth,ai_service/datasets/watermelon/raw/own/ANG0003.jpg,40.0,8.12846565246582,124.0,157.0,0.9816946253980041,0.029095082188544234,0.3422891281601242
ANG0032.jpg,acceptable,manual_ground_truth,ai_service/datasets/watermelon/raw/own/ANG0032.jpg,45.0,27.228626251220703,70.0,156.0,0.6254281107793286,0.13062268056973317,0.4044323179515555
ANG0027.jpg,balanced,manual_ground_truth,ai_service/datasets/watermelon/raw/own/ANG0027.jpg,40.0,35.203636169433594,167.0,154.0,0.5590116790891484,0.17618404835964552,0.4303656317859029
ANG0017.jpg,acceptable,manual_ground_truth,ai_service/datasets/watermelon/raw/own/ANG0017.jpg,22.0,18.915313720703125,134.0,153.0,0.1515176441556305,0.15003701571111294,0.29768857448383645
ANG0011.jpg,poor,manual_ground_truth,ai_service/datasets/watermelon/raw/external/ANG0011.jpg,26.0,21.45463752746582,60.0,186.0,0.23961558505714586,0.027701120245712457,0.5530988353656736
ANG0026.jpg,acceptable,manual_ground_truth,ai_service/datasets/watermelon/raw/own/ANG0026.jpg,54.0,9.971905708312988,70.0,65.0,0.9935059169721338,0.5521999974632488,0.018404129830925535
ANG0009.jpg,poor,manual_ground_truth,ai_service/datasets/watermelon/raw/external/ANG0009.jpg,28.0,3.1879210472106934,109.0,195.0,0.2873254263656264,0.009513118279006496,0.7672852212970719
ANG0019.jpg,balanced,manual_ground_truth,ai_service/datasets/watermelon/raw/own/ANG0019.jpg,46.0,7.685809135437012,190.0,149.0,0.9961513493461931,0.14124084206621534,0.339399981452286
ANG0013.jpg,acceptable,visual_ground_truth_chatgpt,ai_service/datasets/watermelon/raw/external/ANG0013.jpg,40.0,8.703169822692871,85.0,179.0,0.9244182025362799,0.06712872848804967,0.48477184672089224
ANG0002.jpg,acceptable,visual_ground_truth_chatgpt,ai_service/datasets/watermelon/raw/own/ANG0002.jpg,27.0,4.7208333015441895,162.0,222.0,0.385885277349977,0.0,0.9055055704160024
ANG0004.jpg,balanced,visual_ground_truth_chatgpt,ai_service/datasets/watermelon/raw/own/ANG0004.jpg,42.0,2.5786802768707275,125.0,106.0,1.0,0.1603811713564635,0.09969373366504702
ANG0015.jpg,balanced,visual_ground_truth_chatgpt,ai_service/datasets/watermelon/raw/own/ANG0015.jpg,38.0,16.256010055541992,108.0,128.0,0.7084403290468063,0.18784260757106214,0.17221489380331545
ANG0016.jpg,balanced,visual_ground_truth_chatgpt,ai_service/datasets/watermelon/raw/own/ANG0016.jpg,42.0,6.1533894538879395,149.0,134.0,1.0,0.12408551967709384,0.14865035317860747
ANG0018.jpg,balanced,visual_ground_truth_chatgpt,ai_service/datasets/watermelon/raw/own/ANG0018.jpg,45.0,62.52484893798828,114.0,132.0,0.6136801123123905,0.0797910063248086,0.2682616183983906
ANG0020.jpg,balanced,visual_ground_truth_chatgpt,ai_service/datasets/watermelon/raw/own/ANG0020.jpg,40.0,12.617393493652344,141.0,116.0,0.8971101937122896,0.13102572245157193,0.10943156557637346
ANG0023.jpg,acceptable,visual_ground_truth_chatgpt,ai_service/datasets/watermelon/raw/own/ANG0023.jpg,43.0,17.905933380126953,179.0,85.0,0.9253031617416342,0.36905443068347515,0.0
ANG0024.jpg,balanced,visual_ground_truth_chatgpt,ai_service/datasets/watermelon/raw/own/ANG0024.jpg,50.0,13.634530067443848,166.0,98.0,0.9779801377034616,0.3168131484595615,0.0722467239902275
ANG0028.jpg,acceptable,visual_ground_truth_chatgpt,ai_service/datasets/watermelon/raw/own/ANG0028.jpg,27.0,4.058230400085449,164.0,227.0,0.31140402177335913,0.0,0.9396284133339331
ANG0029.jpg,acceptable,visual_ground_truth_chatgpt,ai_service/datasets/watermelon/raw/own/ANG0029.jpg,35.0,22.593852996826172,108.0,143.0,0.511953948934859,0.09227019986274318,0.35486491407442683
ANG0031.jpg,poor,visual_ground_truth_chatgpt,ai_service/datasets/watermelon/raw/own/ANG0031.jpg,37.0,13.22780990600586,203.0,53.0,0.9821697382459115,0.6699647779255513,0.04779094748841764
