image,color_label,notes
ANG0007.jpg,acceptable,manual_ground_truth
ANG0003.jpg,acceptable,manual_ground_truth
ANG0032.jpg,acceptable,manual_ground_truth
ANG0027.jpg,balanced,manual_ground_truth
ANG0017.jpg,acceptable,manual_ground_truth
ANG0011.jpg,poor,manual_ground_truth
ANG0026.jpg,acceptable,manual_ground_truth
ANG0009.jpg,poor,manual_ground_truth
ANG0019.jpg,balanced,manual_ground_truth
ANG0013.jpg,acceptable,visual_ground_truth_chatgpt
ANG0002.jpg,acceptable,visual_ground_truth_chatgpt
ANG0004.jpg,balanced,visual_ground_truth_chatgpt
ANG0015.jpg,balanced,visual_ground_truth_chatgpt
ANG0016.jpg,balanced,visual_ground_truth_chatgpt
ANG0018.jpg,balanced,visual_ground_truth_chatgpt
ANG0020.jpg,balanced,visual_ground_truth_chatgpt
ANG0023.jpg,acceptable,visual_ground_truth_chatgpt
ANG0024.jpg,balanced,visual_ground_truth_chatgpt
ANG0028.jpg,acceptable,visual_ground_truth_chatgpt
ANG0029.jpg,acceptable,visual_ground_truth_chatgpt
ANG0031.jpg,poor,visual_ground_truth_chatgpt
